eventID,eventDate,year,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,type,geodeticDatum,samplingProtocol,scientificName,scientificNameID,occurrenceStatus,occurrenceID,kingdom,phylum,class,order,sex,lifeStage,organismQuantity,organismQuantityType,basisOfRecord,institutionCode,collectionCode,catalogNumber,preparations,associatedTaxa
npmsdd-33-1544,1997-06/1997-07,1997,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1544-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1544-p
npmsdd-33-1544,1997-06/1997-07,1997,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1544-pr2,Animalia,Arthropoda,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1544-p
npmsdd-33-1544,1997-06/1997-07,1997,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Miscellaneous, ,present,npmsdd-33-1544-pr3,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1544-p
npmsdd-33-1544,1997-06/1997-07,1997,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1544-pr4,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1544-p
npmsdd-33-1545,1998-06/1998-07,1998,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1545-p,NA,NA,NA,NA,unspecified,NA,24,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1545,1998-06/1998-07,1998,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1545-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1545-p
npmsdd-33-1545,1998-06/1998-07,1998,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1545-pr2,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1545-p
npmsdd-33-1545,1998-06/1998-07,1998,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1545-pr3,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1545-p
npmsdd-33-1545,1998-06/1998-07,1998,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1545-pr4,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1545-p
npmsdd-33-1545,1998-06/1998-07,1998,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Miscellaneous, ,present,npmsdd-33-1545-pr5,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1545-p
npmsdd-33-1545,1998-06/1998-07,1998,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1545-pr6,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1545-p
npmsdd-33-1546,1999-06/1999-07,1999,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1546-p,NA,NA,NA,NA,unspecified,NA,9,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1546,1999-06/1999-07,1999,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1546-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1546-p
npmsdd-33-1546,1999-06/1999-07,1999,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1546-pr2,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1546-p
npmsdd-33-1546,1999-06/1999-07,1999,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1546-pr3,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1546-p
npmsdd-33-1546,1999-06/1999-07,1999,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Miscellaneous, ,present,npmsdd-33-1546-pr4,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1546-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1547-p,NA,NA,NA,NA,unspecified,NA,27,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1547-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1547-pr2,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1547-pr3,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1547-pr4,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1547-pr5,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Miscellaneous, ,present,npmsdd-33-1547-pr6,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1547-pr7,Animalia,Annelida,Polychaeta,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1547,2000-06/2000-07,2000,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1547-pr8,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1547-p
npmsdd-33-1548,2001-06/2001-07,2001,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1548-p,NA,NA,NA,NA,unspecified,NA,2,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1548,2001-06/2001-07,2001,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1548-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1548-p
npmsdd-33-1548,2001-06/2001-07,2001,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1548-pr2,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1548-p
npmsdd-33-1549,2002-06/2002-07,2002,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1549-p,NA,NA,NA,NA,unspecified,NA,21,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1549,2002-06/2002-07,2002,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1549-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1549-p
npmsdd-33-1549,2002-06/2002-07,2002,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1549-pr2,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1549-p
npmsdd-33-1549,2002-06/2002-07,2002,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1549-pr3,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1549-p
npmsdd-33-1549,2002-06/2002-07,2002,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1549-pr4,Animalia,Arthropoda,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1549-p
npmsdd-33-1549,2002-06/2002-07,2002,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1549-pr5,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1549-p
npmsdd-33-1549,2002-06/2002-07,2002,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1549-pr6,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1549-p
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1550-p,NA,NA,NA,NA,unspecified,NA,23,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1550-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1550-p
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1550-pr2,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1550-p
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1550-pr3,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1550-p
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1550-pr4,Animalia,Arthropoda,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1550-p
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1550-pr5,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1550-p
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Miscellaneous, ,present,npmsdd-33-1550-pr6,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1550-p
npmsdd-33-1550,1993-06/1993-07,1993,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1550-pr7,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1550-p
npmsdd-33-1551,1994-06/1994-07,1994,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1551-p,NA,NA,NA,NA,unspecified,NA,28,individuals,PreservedSpecimen, , , , ,
